,,,Key Gen. [%],Key Gen. [%],Key Gen. [%],Sign [%],Sign [%],Sign [%],Verify [%],Verify [%],Verify [%]
impl.,,,ref,light,diff [%],ref,light,diff [%],ref,light,diff [%]
prob.,lvl,var.,,,,,,,,,
sdp,1,balance,63.8,58.5,-8.31,51.4,67.4,31.13,70.8,74.8,5.65
sdp,1,fast,63.8,58.5,-8.31,44.8,60.2,34.38,49.3,63.4,28.6
sdp,1,small,63.8,58.5,-8.31,52.9,67.4,27.41,75.6,77.2,2.12
sdp,3,balance,65.0,61.2,-5.85,43.7,61.0,39.59,65.2,72.5,11.2
sdp,3,fast,65.0,61.2,-5.85,41.2,56.1,36.17,44.4,60.5,36.26
sdp,3,small,0.0,61.2,,0.0,61.1,,0.0,74.6,
sdp,5,balance,0.0,61.4,,0.0,54.8,,0.0,68.4,
sdp,5,fast,66.3,61.4,-7.39,31.9,50.5,58.31,39.2,55.9,42.6
sdp,5,small,0.0,61.4,,0.0,54.5,,0.0,72.8,
sdpg,1,balance,69.0,60.7,-12.03,62.3,71.9,15.41,63.2,68.7,8.7
sdpg,1,fast,69.0,60.7,-12.03,54.2,64.1,18.27,51.9,60.8,17.15
sdpg,1,small,69.0,60.9,-11.74,62.3,71.9,15.41,64.2,69.4,8.1
sdpg,3,balance,68.5,63.4,-7.45,53.6,65.1,21.46,54.1,62.4,15.34
sdpg,3,fast,68.5,63.3,-7.59,48.1,58.8,22.25,46.1,56.1,21.69
sdpg,3,small,68.5,63.3,-7.59,52.5,65.1,24.0,57.7,64.5,11.79
sdpg,5,balance,67.6,62.3,-7.84,45.5,59.4,30.55,46.1,55.6,20.61
sdpg,5,fast,67.6,62.3,-7.84,42.4,54.1,27.59,39.8,51.0,28.14
sdpg,5,small,0.0,62.3,,0.0,59.4,,0.0,57.1,
