,,,Key Gen. [kbytes],Key Gen. [kbytes],Key Gen. [kbytes],Sign [kbytes],Sign [kbytes],Sign [kbytes],Verify [kbytes],Verify [kbytes],Verify [kbytes]
impl.,,,ref,light,diff [%],ref,light,diff [%],ref,light,diff [%]
prob.,lvl,var.,,,,,,,,,
sdp,1,balance,8112,8200,1.08,210016,210008,-0.0,113184,113184,0.0
sdp,1,fast,8112,8200,1.08,116224,116216,-0.01,56720,56728,0.01
sdp,1,small,8112,8200,1.08,421392,421392,0.0,223832,223840,0.0
sdp,3,balance,16832,16984,0.9,463484,463376,-0.02,248804,248804,0.0
sdp,3,fast,16832,16984,0.9,257976,257976,0.0,124648,124648,0.0
sdp,3,small,0,0,,0,0,,0,0,
sdp,5,balance,0,0,,0,0,,0,0,
sdp,5,fast,29624,29808,0.62,463008,463008,0.0,222424,222424,0.0
sdp,5,small,0,0,,0,0,,0,0,
sdpg,1,balance,3984,4088,2.61,156712,156736,0.02,94372,94264,-0.11
sdpg,1,fast,3984,4088,2.61,77768,77792,0.03,42168,42184,0.04
sdpg,1,small,3984,4088,2.61,309608,309616,0.0,184632,184740,0.06
sdpg,3,balance,7440,7592,2.04,240896,240912,0.01,145156,145048,-0.07
sdpg,3,fast,7440,7592,2.04,170424,170440,0.01,91312,91320,0.01
sdpg,3,small,7440,7592,2.04,453168,453184,0.0,270912,270912,0.0
sdpg,5,balance,11776,11864,0.75,423232,423240,0.0,255760,255876,0.05
sdpg,5,fast,11776,11864,0.75,300704,300712,0.0,159872,159872,0.0
sdpg,5,small,0,0,,0,0,,0,0,
