,Scheme,Version,Problem,Level,Variant,Implementation,Key Generation [%],Sign [%],Verify [%]
0,cross,2.0,sdp,1,balance,light,55.4,67.3,74.2
1,cross,2.0,sdp,1,balance,ref,61.8,52.2,69.2
2,cross,2.0,sdp,1,fast,light,55.4,60.0,63.1
3,cross,2.0,sdp,1,fast,ref,61.8,44.5,49.2
4,cross,2.0,sdp,1,small,light,55.4,67.3,76.5
5,cross,2.0,sdp,1,small,ref,61.8,52.3,75.0
6,cross,2.0,sdp,3,balance,ref,65.3,45.1,64.8
7,cross,2.0,sdp,3,fast,ref,65.3,38.9,44.4
8,cross,2.0,sdp,5,fast,ref,64.7,33.4,38.5
9,cross,2.0,sdpg,1,balance,light,59.7,71.0,68.2
10,cross,2.0,sdpg,1,balance,ref,66.8,60.7,62.1
11,cross,2.0,sdpg,1,fast,light,59.7,62.9,60.2
12,cross,2.0,sdpg,1,fast,ref,66.8,53.2,50.9
13,cross,2.0,sdpg,1,small,light,59.7,70.9,68.9
14,cross,2.0,sdpg,1,small,ref,66.8,60.6,63.4
15,cross,2.0,sdpg,3,balance,light,62.3,63.7,61.6
16,cross,2.0,sdpg,3,balance,ref,67.8,53.1,53.5
17,cross,2.0,sdpg,3,fast,light,62.3,57.1,55.1
18,cross,2.0,sdpg,3,fast,ref,67.8,47.5,45.5
19,cross,2.0,sdpg,3,small,light,62.3,63.7,63.9
20,cross,2.0,sdpg,3,small,ref,67.8,51.5,57.0
21,cross,2.0,sdpg,5,balance,ref,66.8,44.3,45.3
22,cross,2.0,sdpg,5,fast,ref,66.8,42.3,39.6
