,,,Key Gen. [kcycles] (mean),Key Gen. [kcycles] (mean),Key Gen. [kcycles] (mean),Sign [kcycles] (mean),Sign [kcycles] (mean),Sign [kcycles] (mean),Verify [kcycles] (mean),Verify [kcycles] (mean),Verify [kcycles] (mean)
impl.,,,ref,light,diff [%],ref,light,diff [%],ref,light,diff [%]
prob.,lvl,var.,,,,,,,,,
sdp,1,balance,400182,513887,28.41,38881260,46876860,20.56,18644358,18055671,-3.16
sdp,1,fast,400191,513952,28.43,20402856,27094754,32.8,11766158,10174576,-13.53
sdp,1,small,400180,513859,28.41,76710971,94107113,22.68,36495669,35970110,-1.44
sdp,3,balance,982482,1190599,21.18,92880219,107004006,15.21,41772495,39061969,-6.49
sdp,3,fast,982563,1190646,21.18,53985886,65407119,21.16,31198459,26863477,-13.89
sdp,3,small,0,1190473,,0,162140448,,0,57255567,
sdp,5,balance,0,2123498,,0,194508367,,0,69133600,
sdp,5,fast,1681326,2123379,26.29,108898125,126605054,16.26,58706249,51412117,-12.42
sdp,5,small,0,2123253,,0,309032557,,0,104844713,
sdpg,1,balance,192290,228777,18.97,26038104,34787665,33.6,15931394,14829715,-6.92
sdpg,1,fast,192317,228800,18.97,12416469,17728934,42.79,7770530,6940878,-10.68
sdpg,1,small,192303,228796,18.98,51828447,67706846,30.64,31858712,29733407,-6.67
sdpg,3,balance,414010,507085,22.48,39839407,55149896,38.43,25539433,22683130,-11.18
sdpg,3,fast,413982,507045,22.48,29651246,42907484,44.71,19491034,16832884,-13.64
sdpg,3,small,413984,506957,22.46,75747767,100006230,32.03,48560301,43793103,-9.82
sdpg,5,balance,707491,863332,22.03,73736908,96290229,30.59,45889319,39418647,-14.1
sdpg,5,fast,707472,863384,22.04,57000923,78624127,37.93,38195337,31580258,-17.32
sdpg,5,small,0,863474,,0,165957493,,0,69463922,
